question;option1;option2;option3;correct
Veřejnoprávní smlouvu nemůže uzavřít:;obec s právnickou či fyzickou osobou;obec s jinou obcí;obecní úřad obce základního typu s obecním úřadem obce s rozšířenou působností; C
V souladu se zásadou součinnosti by měl správní orgán;"přispět ke smírnému řešení věci; to platí pouze v řízeních o správním deliktu";uvědomit dotčené osoby o úkonu, který hodlá učinit, s dostatečným předstihem za předpokladu, že je to potřebné k hájení jejich práv a neohrozí-li to účel úkonu;umožnit dotčeným osobám realizaci jejich procesních práv, pokud to neohrozí rychlost a hospodárnost řízení; B
Ze zásady součinnosti s účastníky vyplývá, že správní orgán v souvislosti se svým úkonem;musí poskytnout účastníkovi řízení poučení o jeho právech a povinnostech v písemné podobě;nesmí poskytnout účastníkovi řízení žádné nadbytečné informace;poskytne dotčené osobě přiměřené poučení o jejích právech a povinnostech; C
Z principu dobré správy mimo jiné vyplývá, že každý, kdo plní úkoly vyplývající z působnosti správního orgánu,;má povinnost se k dotčeným osobám chovat zdvořile a podle možností jim vycházet vstříc;musí v případě podezření z nezdvořilého chování vždy k úkonu přizvat nestrannou osobu;je ve svém rozhodování nezávislý a nesmí být vázán žádnými příkazy; A
Nevyplývá-li ze zákona něco jiného, postupuje správní orgán vždy tak, aby;byl zjištěn stav věci, o němž nejsou důvodné pochybnosti, v rozsahu, který je nezbytný pro soulad jeho úkonu se základními zásadami řízení uvedenými v § 2 správního řádu;byl zjištěn úplně a objektivně skutečný stav věci;nebylo možné důvodně pochybovat o nezaujatosti účastníků řízení; A
Co znamená „subsidiární“ použití správního řádu?;správní řád se použije tehdy, pokud zvláštní předpis neupravuje jiný postup;zvláštní právní předpis vždy doplňuje závaznou úpravu ve správním řádu;je možné si vybrat, zda bude použita úprava ve správním řádu nebo ve zvláštním zákoně; A
Správní orgán;zastaví řízení, pokud z podkladů zjistí, že žádosti nelze vyhovět;"v zákonem stanovených případech řízení zastaví; usnesením o zastavení řízení se řízení končí";řízení rozhodnutím zastaví, pokud je účastník neznámého pobytu nebo sídla; B
Řízení o žádosti se zastavuje;rozhodnutím;usnesením;usnesením, které se poznamená do spisu; B
Řízení z moci úřední se zastavuje;rozhodnutím;usnesením;usnesením, které se poznamená do spisu; C
Spojit různá řízení lze,;pokud se týkají téhož předmětu nebo spolu jinak věcně souvisejí;pokud s tím souhlasí dotčené osoby;pouze pokud by je vedla jedna oprávněná úřední osoba; A
Po dobu přerušení řízení;nesmí správní orgán až do odpadnutí důvodu pro přerušení provádět žádné úkony v řízení vyjma ukládání pořádkové pokuty;správní orgán nejedná s účastníkem, u něhož nastal důvod pro přerušení, s ostatními účastníky pokračuje v řízení;neběží lhůty týkající se provádění úkonů včetně lhůty pro vydání rozhodnutí; C
Správní orgán může řízení přerušit;"na požádání žadatele nebo na návrh dotčeného správního orgánu; o přerušení řízení musí vydat rozhodnutí";pokud nastal některý ze zákonem stanovených důvodů pro přerušení řízení, o přerušení řízení vydá usnesení;"pokud z důvodu dokazování hrozí vydání opatření proti nečinnosti; o přerušení rozhodne usnesením"; B
Zajišťovací prostředky;pomáhají správnímu orgánu zajistit průběh a účel řízení;pomáhají účastníkům řízení;zajišťují sporný majetek při exekuci; A
Pořádková pokuta;je donucovacím prostředkem k vymožení splnění rozhodnutím uložené peněžité povinnosti;se ukládá rozhodnutím ve výši až 50 000,- Kč, a to i opakovaně;se ukládá také za neuposlechnutí příkazu úřední osoby, pokud tím byla snížena důstojnost této osoby; B
Správní orgán předběžným opatřením;může zajistit věc, která poslouží jako důkaz v řízení, o tomto zajištění sepíše úřední záznam;"může zatímně upravit poměry účastníků; předběžné opatření nařídí rozhodnutím";zajistí pozdější provedení exekuce, vydá o tom usnesení; B
Správní orgán předvolá;osobu, jejíž osobní účast při úkonu v řízení je k provedení úkonu nutná;každou osobu, které se úkon v řízení týká;účastníka řízení za podmínky, že výslech svědka bude proveden mimo ústní jednání; A
Správní orgán může nechat předvést;kohokoli, kdo se na předvolání nedostaví ke správnímu orgánu;účastníka nebo svědka, pokud se bez náležité omluvy na předvolání nedostaví ke správnímu orgánu;znalce nebo účastníka, pokud je jeho výslech potřebný a on se nedostavil ani po opakovaném předvolání; B
Pokud se předvolaná osoba bez náležité omluvy nebo bez dostatečných důvodů na předvolání nedostaví, správní orgán může vydat usnesení, na jehož základě bude předveden;kdokoli;účastník nebo svědek;účastník, jeho zástupce, svědek nebo znalec; B
Předvedení na požádání správního orgánu zajišťuje;"Policie České republiky nebo jiný ozbrojený sbor, o němž to stanoví zvláštní zákon; v řízení před orgány obcí zajišťuje předvedení také obecní policie";pouze Policie České republiky nebo jiný ozbrojený sbor;pouze Policie České republiky a v řízení před orgány obcí také obecní policie; A
Správní orgán může uložit pořádkovou pokutu;tomu, kdo se bez omluvy nedostaví na předvolání ke správnímu orgánu, navzdory předchozímu napomenutí ruší pořádek nebo neuposlechne pokynu úřední osoby;tomu, kdo v řízení závažně ztěžuje jeho postup nebo tomu, kdo učiní hrubě urážlivé podání;tomu, kdo v řízení závažně ztěžuje jeho postup tím, že se bez omluvy nedostaví na předvolání ke správnímu orgánu, navzdory předchozímu napomenutí ruší pořádek nebo neuposlechne pokynu úřední osoby anebo tomu, kdo učiní hrubě urážlivé podání; C
Probíhá-li řízení o předběžné otázce, správní orgán;řízení přeruší, pokud s tím souhlasí dotčený orgán;řízení zastaví;může řízení přerušit; C
Stav, kdy lhůty pro vydání rozhodnutí neběží, se nazývá;přerušení řízení;pozastavení řízení;překážka v řízení; A
Jako svědek nemůže v řízení vystupovat;osoba blízká účastníku řízení, pokud by v důsledku toho hrozilo stíhání pro delikt účastníkovi nebo této osobě;přizvaná osoba, která se účastnila úkonu v řízení;účastník řízení; C
K provedení důkazů lze užít;"listin, svědecké výpovědi nebo znaleckého posudku; jako svědek nesmí vystupovat osoba blízká účastníkovi řízení";všech důkazních prostředků, které jsou vhodné ke zjištění stavu věci a které nejsou získány nebo provedeny v rozporu s právními předpisy;listin, ohledání, svědecké výpovědi nebo znaleckého posudku, jakýkoliv důkaz lze nahradit čestným prohlášením, pokud to umožní správní orgán; B
Podklady pro vydání rozhodnutí opatřuje;správní orgán, lze však připustit, aby je obstaral účastník, který o to požádá;výhradně správní orgán, podklady opatřené dotčenou osobou nelze v řízení použít;účastník řízení uvedený v § 27 odst. 1, v případě potřeby též správní orgán; A
Podkladem pro vydání rozhodnutí;jsou výhradně důkazy, skutečnosti známé správnímu orgánu z úřední činnosti a podklady od jiných správních orgánů nebo orgánů veřejné moci;je cokoli, co pomůže správnímu orgánu zjistit stav věci, o němž nejsou důvodné pochybnosti, zejména návrhy účastníků, důkazy, skutečnosti známé správnímu orgánu z úřední činnosti, podklady od jiných správních orgánů nebo orgánů veřejné moci, jakož i skutečnosti obecně známé;"je cokoli, co pomůže správnímu orgánu zjistit stav věci, o němž nejsou důvodné pochybnosti, zejména důkazy, skutečnosti známé správnímu orgánu z úřední činnosti, podklady od jiných správních orgánů nebo orgánů veřejné moci, jakož i skutečnosti obecně známé; návrhy účastníků ale podkladem pro rozhodnutí nejsou"; B
Správní orgán hodnotí podklady, zejména důkazy;vždy podle své úvahy, přitom pečlivě přihlíží ke všemu, co vyšlo v řízení najevo, včetně toho, co uvedli účastníci;podle své úvahy, pokud zákon nestanoví, že některý podklad je pro správní orgán závazný, přitom pečlivě přihlíží ke všemu, co vyšlo v řízení najevo, včetně toho, co uvedli účastníci;podle své úvahy, pokud zákon nestanoví, že některý podklad je pro správní orgán závazný, přitom pečlivě přihlíží ke všemu, co vyšlo v řízení najevo, ale nebere v potaz to, co uvedli účastníci, protože návrhy účastníků nejsou podkladem rozhodnutí; B
Pro správní orgán jsou závazné tyto podklady pro rozhodnutí:;pravomocně vyřešená předběžná otázka, obsah veřejné listiny a závazné stanovisko jiného správního orgánu;"obsah veřejné listiny a závazné stanovisko jiného správního orgánu; o pravomocně vyřešené předběžné otázce si může správní orgán učinit vlastní úsudek";"pravomocně vyřešená předběžná otázka a závazné stanovisko jiného správního orgánu; veřejná listina není podkladem pro rozhodnutí"; A
Jako svědek je povinen vypovídat;každý;každý, kdo není účastníkem řízení;nikdo – svědecká výpověď je dobrovolná; B
Ústní jednání je;neveřejné, protokol o ústním jednání je důvěrný a je vyloučen z nahlížení do spisu;výhradně veřejné, může se jej účastnit kdokoliv s právem vyjádřit své stanovisko k projednávané věci;neveřejné, pokud zákon nestanoví nebo správní orgán neurčí, že jednání nebo jeho část jsou veřejné; C
Má-li být v řízení z moci úřední více účastníků podle § 27 odst. 1, řízení je zahájeno;dnem, který správní orgán určí usnesením;doručením oznámení o zahájení řízení prvnímu z nich;zveřejněním usnesení o zahájení řízení na úřední desce správního orgánu; B
Řízení o žádosti je zahájeno dnem, kdy žádost nebo jiný návrh, kterým se zahajuje řízení;dojde věcně a místně příslušnému správnímu orgánu;dojde kterémukoli správnímu orgánu;dojde věcně a místně příslušnému správnímu orgánu nebo jeho nejblíže nadřízenému; A
Řízení z moci úřední je zahájeno dnem, kdy správní orgán oznámí zahájení řízení;prvnímu účastníkovi;všem hlavním účastníkům;prvnímu hlavnímu účastníkovi, a není-li správnímu orgánu tento účastník znám, pak kterémukoliv jinému účastníkovi; C
Postupem před zahájením řízení není;znalecký posudek;vysvětlení;předběžná informace; A
Správní orgán věc usnesením odloží, jestliže;byla podána vadná žádost a žadatel ani po výzvě tyto vady neodstranil;je podaná žádost zjevně právně nepřípustná;vůči němu byl učiněn úkon, který zjevně není žádostí, nebo z něj nelze zjistit, kdo jej učinil; B
Překážkou řízení je;dříve zahájené řízení v téže věci u jiného správního orgánu;již jednou zamítnutá žádost;nedokončená exekuce; A
Překážka řízení je důvodem;k zastavení řízení;k obnově řízení;k odložení věci; A
Lhůta je zachována, pokud;je poslední den lhůty učiněno podání u věcně a místně příslušného správního orgánu;účastník řízení požádal o prominutí zmeškání úkonu;podateli bránila v učinění podání objektivní překážka a podání je učiněno ve lhůtě prodloužené o dobu trvání této překážky; A
Do běhu lhůty se nezapočítává;den, kdy došlo ke skutečnosti určující počátek lhůty, pokud není lhůta určena podle hodin;doba, po kterou existoval spor o účastenství;sobota, neděle nebo svátek; A
Pro nahlížení do spisu ve správním řízení platí;zákon č. 106/1999 Sb., o svobodném přístupu k informacím, a zákon č. 123/1998 Sb., o právu na informace o životním prostředí;právní úprava správního řádu;zákon č. 106/1999 Sb., o svobodném přístupu k informacím; B
Soupis součástí spisu obsahuje;všechny součásti spisu;jen součásti týkající se účastníků;vše kromě součástí, uchovávaných dle zákona mimo spis; C
Spis se zakládá;v každé věci;pokud tak stanoví zákon;pokud tak rozhodne úřední osoba; A
Oprávněné osoby mohou nahlížet do spisu;pouze do doby, než rozhodnutí nabude právní moci;v průběhu řízení i po nabytí právní moci rozhodnutí;jen poté, co rozhodnutí nabude právní moci; B
Do spisu jsou oprávněni nahlížet;pouze účastník a jeho zástupce;účastník, jeho zástupce, podpůrce a jiné osoby, pokud prokážou právní zájem;"účastník, jeho zástupce, jiné osoby, pokud prokážou právní zájem, a průvodce nevidomé osoby; podpůrce může ale nahlédnout do spisu jen tehdy, pokud není účastník zastoupen"; B
Účastník řízení má právo;na seznámení se s podklady pro rozhodnutí před vydáním rozhodnutí a na nahlížení do spisu;"činit vůči správnímu orgánu návrhy a jiná podání; za hrubě urážlivé podání v takovém případě nelze uložit pořádkovou pokutu";být kdykoliv v průběhu řízení poučen o každém právu či povinnosti, které se k jeho osobě váží; A
Podání je učiněno dnem;kdy dojde kterémukoliv věcně příslušnému správnímu orgánu;kdy je podána provozovateli poštovních služeb k doručení zásilka obsahující podání;kdy dojde věcně a místně příslušnému správnímu orgánu; C
Podání lze učinit;výhradně na předepsaném tiskopisu, ústní podání je možné pouze v rámci ústního jednání;písemně, elektronicky, a to i bez zaručeného elektronického podpisu nebo SMS zprávou;písemně nebo ústně do protokolu, elektronické podání musí být podepsáno zaručeným elektronickým podpisem; C
Písemnosti se doručují zástupci účastníka;pokud to výslovně stanoví udělená plná moc;po celou dobu trvání zastoupení;pokud na požádání zastoupeného nevydá správní orgán usnesení o tom, že se mají doručovat i zastoupenému; B
Každý je způsobilý činit v řízení úkony samostatně v takovém rozsahu;jaký odpovídá konkrétnímu typu správního řízení a jeho rozpoznávacím a určovacím schopnostem;v jakém mu zákon přiznává svéprávnost;jaký mu přizná správní orgán; B
Účastník řízení může být zastoupen;"jednou nebo více fyzickými osobami na základě plné moci; zástupcem nemůže být právnická osoba";jinou fyzickou nebo právnickou osobou na základě plné moci udělené písemně nebo ústně do protokolu;advokátem nebo notářem, v přezkumném řízení musí být vždy zastoupen advokátem; B
Účastníkem řízení je;osoba, o jejíž právech a povinnostech se v řízení rozhoduje;každá dotčená osoba a oprávněná úřední osoba;osoba mající legitimní zájem na výsledku řízení; A
Veřejnou vyhláškou se doručuje;osobám neznámého pobytu nebo sídla, osobám, kterým se prokazatelně nedaří doručovat, a osobám, které jsou vedlejšími účastníky;v případech, kdy tak stanoví zvláštní zákon nebo pokud je to nutné s ohledem na procesní ekonomii;osobám neznámého pobytu nebo sídla, osobám, kterým se prokazatelně nedaří doručovat, a osobám, které nejsou známy, a v dalších případech, které stanoví zákon; C
Písemnost se považuje za doručenou, jestliže si adresát uložené písemnosti/ písemnost nevyzvedne;nejpozději následující pracovní den poté, co mu bylo uložení písemnosti oznámeno;ve lhůtě 10 dnů ode dne, kdy byla k vyzvednutí připravena;ačkoli se prokazatelně na adrese, kam mu bylo doručováno, zdržoval; B
Do vlastních rukou adresáta se musí doručovat;výzva k seznámení se s podklady pro vydání rozhodnutí;vyrozumění o usnesení, které správní orgán poznamenal do spisu;předvolání; C
Pokud lze doručit písemnost do datové schránky, správní orgán ji doručí do datové schránky;vždy;jen pokud tak stanoví zákon;jen pokud tak rozhodne úřední osoba; A
Správní orgán může doručit písemnost prostřednictvím obecní policie,;pokud je správním orgánem orgán obce;pokud je správním orgánem územní samosprávný celek;pokud je správním orgánem orgán obce nebo Policie ČR; B
Fyzické osobě lze doručit;jen v místě jejího trvalého bydliště nebo na adrese pro doručování;kdekoli bude zastižena;jen v místě jejího trvalého bydliště, na adrese pro doručování nebo v zaměstnání; B
Pokud nebyl adresát zastižen a písemnost nebylo možné doručit ani jiným způsobem přípustným podle správního řádu, písemnost se uloží;u správního orgánu, který ji vyhotovil, a pokud se doručuje jejich prostřednictvím, tak u obecního úřadu, obecní policie nebo v provozovně provozovatele poštovních služeb;u správního orgánu, který ji vyhotovil, a pokud se doručuje jejich prostřednictvím, tak u obecního úřadu, obecní policie, Policie ČR nebo v provozovně provozovatele poštovních služeb;u správního orgánu, který ji vyhotovil, a pokud se doručuje jejich prostřednictvím, tak u obecního úřadu nebo v provozovně provozovatele poštovních služeb; C
Doručení veřejnou vyhláškou se provede tak, že;"oznámení o možnosti převzít písemnost se vyvěsí na úřední desce správního orgánu, který písemnost doručuje; písemnost se považuje za doručenou desátým dnem po vyvěšení";"písemnost nebo oznámení o možnosti převzít písemnost, se vyvěsí na úřední desce správního orgánu, který písemnost doručuje; písemnost se považuje za doručenou patnáctým dnem po vyvěšení";"písemnost se vyvěsí na úřední desce správního orgánu, který písemnost doručuje; písemnost se považuje za doručenou sedmým dnem po vyvěšení"; B
Aby bylo možné považovat písemnost za doručenou veřejnou vyhláškou, musí být písemnost (nebo oznámení o možnosti převzít písemnost) zveřejněna;také způsobem umožňujícím dálkový přístup;také ve věstníku kraje;také na úřední desce nadřízeného správního orgánu; A
Protokol se sepisuje;pokud tak rozhodne oprávněná úřední osoba o úkonech, které jsou v řízení významné;o všech úkonech, které nemají písemnou povahu;o ústním jednání, o ústním podání, o výslechu svědka nebo znalce a o provedení důkazu listinou a ohledání, pokud jsou prováděny mimo ústní jednání; C
Ten, kdo prohlásí, že neovládá jazyk, jímž se vede jednání, má právo na tlumočníka zapsaného v seznamu tlumočníků;pokud tak stanoví zvláštní zákon;vždy;pokud s tím souhlasí správní orgán; B
V řízení se jedná a písemnosti se vyhotovují;v českém nebo slovenském jazyce nebo v některém ze světových jazyků;v českém jazyce nebo v jazyce národnostní menšiny;v českém jazyce; B
O tom, kdo je v dané věci oprávněnou úřední osobou;vydá správní orgán usnesení;"rozhodne vedoucí správního orgánu a provede záznam do spisu; proti tomuto rozhodnutí lze podat námitky, o kterých rozhodne usnesením";se provede záznam do spisu a správní orgán o tom účastníka řízení na požádání informuje; C
Úřední osoba je podjatá,;"pokud to o sobě písemně prohlásí nebo pokud podá účastník námitku podjatosti; podjatost nemůže založit skutečnost, že úřední osoba vede soudní spor s účastníkem";jestliže prováděla kontrolu, na jejímž základě bylo zahájeno správní řízení;pokud lze důvodně předpokládat, že má s ohledem na vztah k věci, účastníkům nebo jejich zástupcům takový zájem na výsledku řízení, který způsobuje pochybnost o její nepodjatosti; C
Z řízení je vyloučena každá úřední osoba,;o níž lze důvodně předpokládat, že má s ohledem na svůj poměr pouze k věci takový zájem na výsledku řízení, pro nějž lze pochybovat o její nepodjatosti;o níž lze důvodně předpokládat, že má s ohledem na svůj poměr k věci, k účastníkům řízení nebo jejich zástupcům takový zájem na výsledku řízení, pro nějž lze pochybovat o její nepodjatosti;která má s ohledem na svůj poměr k věci, k účastníkům řízení nebo jejich zástupcům takový zájem na výsledku řízení, pro nějž lze pochybovat o její nepodjatosti; B
Každá úřední osoba, o níž lze důvodně předpokládat, že je podjatá, je vyloučena;naprosto ze všech úkonů v řízení;ze všech úkonů v řízení, ze kterých ji vyloučí její nadřízený;ze všech úkonů v řízení, při jejichž provádění by mohla výsledek řízení ovlivnit; A
Jednotlivé úkony v řízení se činí;obvykle písemně;výhradně písemně na předepsaných formulářích;"většinou ústně v jakémkoliv jazyce; správní orgán je povinen pořídit zvukový záznam takového úkonu"; A
Pokud správní orgán nemůže sám úkon v řízení provést,;může usnesením dožádat nadřízený, podřízený nebo jiný věcně příslušný správní orgán o provedení úkonu;uloží rozhodnutím účastníku řízení, aby úkon provedl za správní orgán;žádost zamítne s odkazem na rychlost a hospodárnost řízení; A
Správní orgán, kterému bylo postoupeno podání, ho může usnesením postoupit dalšímu správnímu orgánu nebo vrátit, pokud;má za to, že není věcně nebo místně příslušný, a pokud s tím souhlasí nadřízený správní orgán;se jedná o podání, k jehož vyřízení není příslušný žádný správní orgán;tak učiní ve lhůtě 10 dnů od prvního postoupení, a pokud s tím souhlasí žadatel; A
Správní orgán, kterému dojde podání, k jehož vyřízení je příslušný jiný správní orgán,;požádá nadřízený správní orgán o souhlas s postoupením takového podání;takové podání postoupí příslušnému správnímu orgánu;takové podání odloží a nezabývá se jím; A
Dojde-li podání správnímu orgánu, který není věcně nebo místně příslušný,;"postoupí je do 30 dnů příslušnému správnímu orgánu; podatele uvědomí, jen pokud hrozí nebezpečí prodlení";postoupí je bezodkladně příslušnému správnímu orgánu a současně o tom uvědomí podatele;postoupí je bezodkladně nejblíže nadřízenému správnímu orgánu a současně o tom uvědomí podatele; B
Pokud má správní orgán, jemuž bylo postoupeno podání, za to, že není věcně nebo místně příslušný,;může je postoupit dalšímu správnímu orgánu nebo vrátit jen se souhlasem svého nadřízeného správního orgánu;může je postoupit dalšímu správnímu orgánu na základě vlastního uvážení, ale vrátit je může jen se souhlasem svého nadřízeného správního orgánu;může je postoupit dalšímu správnímu orgánu jen se souhlasem svého nadřízeného správního orgánu, ale vrátit je může na základě vlastního uvážení; A
Místní příslušnost určuje,;zda se konkrétní věcí bude zabývat obecní nebo krajský úřad;který věcně příslušný správní orgán povede v konkrétní věci správní řízení;sídlo příslušného správního orgánu; C
Věcná příslušnost určuje;který odbor obecního úřadu se bude konkrétní věcí zabývat;typově, který správní orgán v určité věci povede správní řízení;který úředník má v dané věci provádět úkony; B
Věcná příslušnost správního orgánu se stanoví;zákonem nebo na základě zákona;pouze zákonem;zákonem nebo interním předpisem; B
Správní řízení je;postup, jehož účelem je vydání správního aktu nebo provedení jiného úkonu při výkonu veřejné správy včetně uzavření veřejnoprávní smlouvy;postup, jehož účelem je vydání rozhodnutí;jakýkoliv postup při výkonu působnosti v oblasti veřejné správy vyjma postupu při vyřizování stížností a při vydávání osvědčení; B
Správní orgán;může z důvodu rychlosti řízení doručovat veřejnou vyhláškou;může z důvodu účelnosti řízení omezit práva účastníků řízení, například právo vyjádřit se k podkladům pro rozhodnutí;vyřizuje věci bez zbytečného odkladu a postupuje tak, aby nikomu nevznikaly zbytečné náklady; C
Dotčené osoby;"mají v celém řízení stejná procesní práva; lhostejno, zda se jedná o účastníka řízení nebo jinou dotčenou osobu";mají při uplatňování svých procesních práv rovné postavení;mají rovné postavení, pokud nejsou zastoupeny advokátem; B
Dotčené osoby jsou;účastníci správního řízení, osoby, které jsou dotčeny rozhodnutím, a dotčené správní orgány;účastníci řízení, jejich zástupci a oprávněná úřední osoba;osoby, jichž se činnost správního orgánu v jednotlivém případě dotýká; A
Ze zásady zákonnosti vyplývá, že;"správní orgán musí postupovat v souladu se zákony; není však vázán nařízeními a směrnicemi ES";správní orgán musí postupovat v souladu s platnými a účinnými právními předpisy, které tvoří právní řád ČR;"správní orgán může postupovat v souladu se zákony; přitom je vázán usneseními vlády a výkladovými stanovisky ministerstev"; B
Základní zásady činnosti správních orgánů uvedené v § 2 až 8 správního řádu jsou;právně závazné;právně závazné, pokud na ně správní řád v dalších ustanoveních výslovně odkazuje;právně nezávazné; A
Správní řád nebo jeho jednotlivé ustanovení se použijí, pokud;to vyplývá z judikatury správních soudů;na ně zvláštní zákon přímo odkáže;zvláštní zákon nestanoví jiný postup; C
Správní řád se vztahuje na;vztahy mezi starostou a zastupitelstvem při výkonu samostatné působnosti;postup obecního úřadu, pokud vykonává působnost v oblasti veřejné správy;radu obce, pokud postupuje v oblasti pracovněprávních vztahů s úředníky obecního úřadu; B
Správní řád se vztahuje na postup;pouze orgánů moci výkonné a právnických a fyzických osob;orgánů moci výkonné, orgánů územních samosprávných celků a jiných orgánů a právnických a fyzických osob;pouze orgánů moci výkonné a orgánů územních samosprávných celků; B
Správní řád se vztahuje na postup orgánů vyjmenovaných v § 1 odst. 1 za podmínky, že;vykonávají působnost pouze v oblasti státní správy;vykonávají působnost v oblasti státní správy a základní soudní správy;vykonávají působnost v oblasti veřejné správy; C
Závazné stanovisko je;rozhodnutí, které tvoří závazný podklad pro meritorní rozhodnutí, proti závaznému stanovisku se nelze odvolat;úkon učiněný na základě zvláštního zákona, který není rozhodnutím, a který je závazný pro výrokovou část navazujícího rozhodnutí;úkon učiněný podle části IV. správního řádu, který je závazný pro navazující rozhodnutí a proti kterému lze přímo podat odvolání; B
Jestliže odvolání směřuje proti obsahu závazného stanoviska, vyžádá si odvolací správní orgán potvrzení nebo změnu závazného stanoviska od;správního orgánu nadřízeného správnímu orgánu příslušnému k vydání závazného stanoviska;správního orgánu příslušného k vydání závazného stanoviska;ústředního správního orgánu, do jehož působnosti napadené závazné stanovisko patří; A
Příkaz;může mít pouze ústní formu, v takovém případě však nemůže být exekučním titulem;je zvláštním druhem rozhodnutí, odvolání proti němu má vždy odkladný účinek;lze vydat v řízení z moci úřední nebo ve sporném řízení, pokud se jím ukládá povinnost; C
Vydání příkazu;nemůže být prvním úkonem v řízení;je možné pouze pokud tak stanoví zvláštní zákon;může být prvním úkonem v řízení; C
Výroková část rozhodnutí musí vždy obsahovat;označení účastníků a dalších dotčených osob;řešení otázky, která je předmětem řízení, právní ustanovení, podle nichž bylo rozhodováno, a označení účastníků podle § 27 odst. 1;řešení otázky, která je předmětem řízení, označení účastníků podle § 27 a výrok o opravném prostředku; B
Rozhodnutí nemusí obsahovat odůvodnění,;pokud se nevypracovává písemně;pokud správní orgán prvního stupně všem účastníkům v plném rozsahu vyhoví;pokud správní orgán v plném rozsahu vyhověl všem žadatelům; B
Písemné vyhotovení rozhodnutí obsahuje;"výrokovou část, odůvodnění a poučení; poučení není třeba, pokud není možné podat proti rozhodnutí odvolání";"výrok, odůvodnění a poučení; odůvodnění není třeba, pokud účastník s rozhodnutím souhlasí";výrokovou část, odůvodnění a poučení; C
Oprava rozhodnutí;se provádí vydáním opravného usnesení, a to i v případě opravy vad výrokové části;se poznamená do spisu a účastníci se o ní vyrozumí;se v případě, že se jedná o zřejmé nesprávnosti, provádí opravným usnesením, o opravě výroku se vždy vydává opravné rozhodnutí; C
Správní orgán vydá rozhodnutí;nejpozději do 30 dnů, tuto lhůtu může nadřízený správní orgán usnesením přiměřeně prodloužit;"bezodkladně, není-li to možné, pak ve lhůtě 30 dnů; tato lhůta se prodlužuje pouze ze zákonem stanovených důvodů";bezodkladně, nejpozději však do 30 dnů, tuto lhůtu může správní orgán, který vede řízení, prodloužit rozhodnutím; B
Správní orgán může účastníkovi určit přiměřenou lhůtu k provedení úkonu;vždy;jen pokud ji nestanoví zákon a je-li toho zapotřebí, ale takto určenou lhůtu nelze prodloužit;"jen pokud ji nestanoví zákon a je-li toho zapotřebí; takto určenou lhůtu lze prodloužit"; C
Připadne-li konec lhůty na sobotu, neděli nebo svátek, je posledním dnem lhůty;"nejbližší příští pracovní den; to neplatí, jde-li o lhůtu určenou podle hodin";"tato sobota, neděle nebo svátek; to neplatí, jde-li o lhůtu určenou podle hodin";vždy nejbližší příští pracovní den; A
Prodloužit přiměřeně lhůtu pro vydání rozhodnutí;nemůže nikdo;"může správní orgán, který vede řízení, se souhlasem nadřízeného správního orgánu; svůj postup musí řádně zdůvodnit";může správní orgán nadřízený správnímu orgánu, který vede řízení, ale pouze v rámci opatření proti nečinnosti; C
Rozhodnutí se oznamuje;výhradně doručením písemného vyhotovení rozhodnutí, ústní vyhlášení rozhodnutí správní řád nepřipouští;doručením písemného vyhotovení rozhodnutí do vlastních rukou;doručením písemného vyhotovení rozhodnutí, vyvěšením na úřední desce nebo ústním vyhlášením, to má účinky oznámení, pokud tak určí správní orgán; C
Právní moc rozhodnutí nastává,;pokud nelze proti rozhodnutí podat odvolání nebo pokud uplynula lhůta k plnění;pokud bylo rozhodnutí oznámeno a nelze proti němu podat odvolání, pokud zákon nestanoví jinak;pokud bylo rozhodnutí oznámeno a nelze jej napadnout žalobou u správního soudu; B
Pravomocné rozhodnutí;"je závazné pro účastníky řízení a věcně příslušné správní orgány; není závazné pro soudy";je závazné pro každého kromě odvolacího správního orgánu a dotčeného správního orgánu;je závazné pro účastníky řízení a všechny správní orgány, pravomocné rozhodnutí o osobním stavu je závazné pro každého; C
Vykonatelnost rozhodnutí nastává;okamžikem marného uplynutí odvolací lhůty nebo zamítnutím podaného odvolání;nejpozději dnem právní moci;v případě, že jde o rozhodnutí ukládající povinnost k plnění, tehdy, je-li v právní moci a jestliže uplynula lhůta ke splnění povinnosti; C
Pravomocné je rozhodnutí, které;bylo řádně oznámeno;bylo řádně oznámeno a nelze proti němu podat odvolání;bylo řádně oznámeno a nelze proti němu podat odvolání, nestanoví-li zákon jinak; C
Rozhodnutí je vykonatelné;dnem nabytí právní moci nebo pozdějším dnem, který je v jeho výrokové části uveden;dnem nabytí právní moci;dnem, který je v jeho výrokové části uveden; A
Rozhodnutí je předběžně vykonatelné, pokud;účastník se vzdá práva na podání odvolání;odvolání nemá odkladný účinek;nelze se proti němu odvolat; B
Právní moc nebo vykonatelnost rozhodnutí vyznačí na písemném vyhotovení rozhodnutí (které zůstává součástí spisu);správní orgán, který rozhodl v prvním stupni;správní orgán, který rozhodl v posledním stupni;správní orgán, který rozhodl v prvním nebo posledním stupni; B
Na požádání účastníka opatří doložkou právní moci nebo vykonatelnosti stejnopis rozhodnutí (který byl účastníkovi doručen);správní orgán, který rozhodl v prvním stupni;správní orgán, který rozhodl v posledním stupni;správní orgán, který rozhodl v prvním nebo posledním stupni; A
